date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:43:16	13070/13070	---MC-	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2013:44:39%20GMT	https://invitacionesvirtuales.net/salon/invitacionper.php?id=TVRZd09EVTIrdQ	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/esmeralda/invitacionesvirtuales.net/salon/invitacionper9583.html	(from )
10:43:16	491/491	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Mar%202024%2013:44:39%20GMT	https://invitacionesvirtuales.net/robots.txt		(from )
10:43:17	95786/95786	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1/jquery.min.js	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/esmeralda/ajax.googleapis.com/ajax/libs/jquery/1/jquery.min.js	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=TVRZd09EVTIrdQ)
10:43:17	10006/10006	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20May%202022%2001:34:25%20GMT	https://invitacionesvirtuales.net/salon/js/jquery.countdown.js	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/esmeralda/invitacionesvirtuales.net/salon/js/jquery.countdown.js	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=TVRZd09EVTIrdQ)
10:43:17	26333/26333	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Sep%202023%2019:29:53%20GMT	https://invitacionesvirtuales.net/salon/estilo.css	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/esmeralda/invitacionesvirtuales.net/salon/estilo.css	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=TVRZd09EVTIrdQ)
10:43:18	17933/17933	---M--	200	added ('OK')	text/css	date:Tue,%2027%20Dec%202022%2018:23:49%20GMT	https://invitacionesvirtuales.net/salon/style-invit.css	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/esmeralda/invitacionesvirtuales.net/salon/style-invit.css	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=TVRZd09EVTIrdQ)
10:43:18	3405/3405	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Dec%202018%2016:16:48%20GMT	https://invitacionesvirtuales.net/apple-touch-icon.png	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/esmeralda/invitacionesvirtuales.net/apple-touch-icon.png	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=TVRZd09EVTIrdQ)
10:43:18	725/725	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Dec%202018%2016:16:44%20GMT	https://invitacionesvirtuales.net/favicon-32x32.png	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/esmeralda/invitacionesvirtuales.net/favicon-32x32.png	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=TVRZd09EVTIrdQ)
10:43:18	401/401	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Dec%202018%2016:16:43%20GMT	https://invitacionesvirtuales.net/favicon-16x16.png	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/esmeralda/invitacionesvirtuales.net/favicon-16x16.png	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=TVRZd09EVTIrdQ)
10:43:18	725/725	---M--	200	added ('OK')	image/png	date:Tue,%2024%20May%202022%2001:32:11%20GMT	https://invitacionesvirtuales.net/salon/favicon-32x32.png	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/esmeralda/invitacionesvirtuales.net/salon/favicon-32x32.png	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=TVRZd09EVTIrdQ)
10:43:19	401/401	---M--	200	added ('OK')	image/png	date:Tue,%2024%20May%202022%2001:32:10%20GMT	https://invitacionesvirtuales.net/salon/favicon-16x16.png	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/esmeralda/invitacionesvirtuales.net/salon/favicon-16x16.png	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=TVRZd09EVTIrdQ)
10:43:19	210445/210445	---MCZ	200	added ('OK')	text/javascript	etag:W/%223360d-7zvdaxLS2Lhi3Pty7QrCYymkuqI%22	https://platform-api.sharethis.com/js/sharethis.js	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/esmeralda/platform-api.sharethis.com/js/sharethis.js	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=TVRZd09EVTIrdQ)
10:43:20	76721/76721	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Feb%202023%2015:36:03%20GMT	https://invitacionesvirtuales.net/assets/ayelen-portada-1116770801639941.jpg	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/esmeralda/invitacionesvirtuales.net/assets/ayelen-portada-1116770801639941.jpg	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=TVRZd09EVTIrdQ)
10:43:20	49488/49488	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Nov%202023%2023:11:43%20GMT	https://invitacionesvirtuales.net/assets/distritobarracas-logo17006083032433.png	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/esmeralda/invitacionesvirtuales.net/assets/distritobarracas-logo17006083032433.png	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=TVRZd09EVTIrdQ)
