date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:51:26	13319/13319	---MC-	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2013:52:49%20GMT	https://invitacionesvirtuales.net/salon/invitacionper.php?id=TVRZd09EVTMrdQ	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/4-ModeloMediterraneo/invitacionesvirtuales.net/salon/invitacionper539c.html	(from )
10:51:26	491/491	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Mar%202024%2013:52:49%20GMT	https://invitacionesvirtuales.net/robots.txt		(from )
10:51:27	95786/95786	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1/jquery.min.js	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/4-ModeloMediterraneo/ajax.googleapis.com/ajax/libs/jquery/1/jquery.min.js	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=TVRZd09EVTMrdQ)
10:51:27	10006/10006	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20May%202022%2001:34:25%20GMT	https://invitacionesvirtuales.net/salon/js/jquery.countdown.js	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/4-ModeloMediterraneo/invitacionesvirtuales.net/salon/js/jquery.countdown.js	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=TVRZd09EVTMrdQ)
10:51:27	26333/26333	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Sep%202023%2019:29:53%20GMT	https://invitacionesvirtuales.net/salon/estilo.css	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/4-ModeloMediterraneo/invitacionesvirtuales.net/salon/estilo.css	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=TVRZd09EVTMrdQ)
10:51:28	17933/17933	---M--	200	added ('OK')	text/css	date:Tue,%2027%20Dec%202022%2018:23:49%20GMT	https://invitacionesvirtuales.net/salon/style-invit.css	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/4-ModeloMediterraneo/invitacionesvirtuales.net/salon/style-invit.css	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=TVRZd09EVTMrdQ)
10:51:28	3405/3405	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Dec%202018%2016:16:48%20GMT	https://invitacionesvirtuales.net/apple-touch-icon.png	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/4-ModeloMediterraneo/invitacionesvirtuales.net/apple-touch-icon.png	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=TVRZd09EVTMrdQ)
10:51:28	725/725	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Dec%202018%2016:16:44%20GMT	https://invitacionesvirtuales.net/favicon-32x32.png	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/4-ModeloMediterraneo/invitacionesvirtuales.net/favicon-32x32.png	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=TVRZd09EVTMrdQ)
10:51:28	401/401	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Dec%202018%2016:16:43%20GMT	https://invitacionesvirtuales.net/favicon-16x16.png	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/4-ModeloMediterraneo/invitacionesvirtuales.net/favicon-16x16.png	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=TVRZd09EVTMrdQ)
10:51:28	725/725	---M--	200	added ('OK')	image/png	date:Tue,%2024%20May%202022%2001:32:11%20GMT	https://invitacionesvirtuales.net/salon/favicon-32x32.png	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/4-ModeloMediterraneo/invitacionesvirtuales.net/salon/favicon-32x32.png	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=TVRZd09EVTMrdQ)
10:51:29	401/401	---M--	200	added ('OK')	image/png	date:Tue,%2024%20May%202022%2001:32:10%20GMT	https://invitacionesvirtuales.net/salon/favicon-16x16.png	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/4-ModeloMediterraneo/invitacionesvirtuales.net/salon/favicon-16x16.png	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=TVRZd09EVTMrdQ)
10:51:29	210445/210445	---MCZ	200	added ('OK')	text/javascript	etag:W/%223360d-7zvdaxLS2Lhi3Pty7QrCYymkuqI%22	https://platform-api.sharethis.com/js/sharethis.js	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/4-ModeloMediterraneo/platform-api.sharethis.com/js/sharethis.js	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=TVRZd09EVTMrdQ)
10:51:30	71625/71625	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Feb%202023%2015:33:32%20GMT	https://invitacionesvirtuales.net/assets/ayelen-portada-1016770800120868.jpg	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/4-ModeloMediterraneo/invitacionesvirtuales.net/assets/ayelen-portada-1016770800120868.jpg	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=TVRZd09EVTMrdQ)
10:51:30	49488/49488	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Nov%202023%2023:11:33%20GMT	https://invitacionesvirtuales.net/assets/distritobarracas-logo17006082934561.png	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/4-ModeloMediterraneo/invitacionesvirtuales.net/assets/distritobarracas-logo17006082934561.png	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=TVRZd09EVTMrdQ)
